city,attraction_name,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price,popularity_tags,crowd_risk,queue_risk,peak_crowd_windows
Beijing,Universal Beijing Resort,,Amusement Park/Sports & Entertainment,,39.86099,116.68782,,09:00,21:00,,2.0,3.0,503.0,viral;photo_spot;family_hotspot;classic_hotspot,high,high,weekend;holiday;summer;school_holiday
Beijing,The Palace Museum,,Historical Sites,,39.924091,116.403414,,08:30,17:00,,0.5,1.0,0.0,classic_hotspot;culture_hotspot;photo_spot;family_hotspot,high,high,weekend;holiday;school_holiday
Beijing,Badaling Great Wall,,Historical Sites,,40.362639,116.024067,,06:30,16:30,,1.0,2.5,40.0,classic_hotspot;culture_hotspot;photo_spot;nature_hotspot,high,high,weekend;holiday;summer;school_holiday
Beijing,National Museum of China,,Museum/Memorial Hall,,39.911449,116.408018,,09:00,17:00,,3.0,3.5,0.0,classic_hotspot;culture_hotspot;family_hotspot,high,high,weekend;holiday;school_holiday
Beijing,Summer Palace,,Cultural Tourism Zone,,40.008817,116.280234,,06:00,20:00,,0.5,1.0,30.0,classic_hotspot;culture_hotspot;photo_spot;nature_hotspot,high,medium,weekend;holiday;summer
Beijing,Prince Gong's Mansion,,Historical Sites,,39.943381,116.392599,,08:30,17:00,,1.0,2.0,40.0,classic_hotspot;culture_hotspot;photo_spot,high,medium,weekend;holiday;school_holiday
Beijing,Temple of Heaven,,Historical Sites,,39.889918,116.419289,,06:00,22:00,,2.5,4.0,34.0,classic_hotspot;culture_hotspot;photo_spot;family_hotspot,high,medium,weekend;holiday;school_holiday
Beijing,Old Summer Palace,,Historical Sites,,40.016191,116.309736,,07:00,19:00,,0.5,2.0,0.0,classic_hotspot;culture_hotspot;photo_spot;nature_hotspot,medium,low,weekend;holiday;school_holiday
Beijing,Mutianyu Great Wall,,Historical Sites,,40.440146,116.575896,,07:30,18:00,,0.5,1.5,45.0,classic_hotspot;culture_hotspot;photo_spot;nature_hotspot,high,medium,weekend;holiday;summer
Beijing,Beijing Zoo,,Park,,39.947726,116.342331,,07:30,19:00,,1.0,2.0,15.0,family_hotspot,medium,medium,weekend;holiday;school_holiday
Beijing,Beijing Wildlife Park,,Amusement Park/Sports & Entertainment,,39.502139,116.340954,,08:30,17:30,,1.0,2.5,145.0,family_hotspot,medium,medium,weekend;holiday;school_holiday
