origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index,sample_id
Beijing,Harbin,2025-11-14,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-14 06:40:00,2025-11-14 08:45:00,125,CA1621,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,300,1,305,32
Beijing,Harbin,2025-11-14,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-14 07:00:00,2025-11-14 09:10:00,130,CZ6657,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,270,1,306,32
Beijing,Harbin,2025-11-14,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-14 07:25:00,2025-11-14 09:20:00,115,CA1689,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,320,1,311,32
Beijing,Harbin,2025-11-14,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-14 12:00:00,2025-11-14 14:05:00,125,CZ6220,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,350,1,313,32
Beijing,Harbin,2025-11-14,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-14 12:55:00,2025-11-14 14:55:00,120,SC5746,Shandong Airlines,Economy,Sufficient,737MAX8,Medium Aircraft,Boeing,540,1,322,32
Beijing,Harbin,2025-11-14,PKX,Beijing Daxing International Airport,PVG,Shanghai Pudong International Airport,2025-11-14 13:00:00,2025-11-14 15:00:00,120,MU5196,China Eastern Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,938,1,327,32
Beijing,Harbin,2025-11-14,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-14 15:00:00,2025-11-14 17:15:00,135,3U1600,Sichuan Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,520,1,320,32
Beijing,Harbin,2025-11-14,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-14 15:00:00,2025-11-14 17:15:00,135,MF4960,Xiamen Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,473,1,319,32
Beijing,Harbin,2025-11-14,PVG,Shanghai Pudong International Airport,HRB,Taiping International Airport,2025-11-14 16:05:00,2025-11-14 19:05:00,180,MU8303,China Eastern Airlines,Economy,Sufficient,737-800,Medium Aircraft,Boeing,938,2,327,32
Beijing,Harbin,2025-11-14,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-14 20:45:00,2025-11-14 22:25:00,100,CA1639,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,490,1,317,32
Beijing,Harbin,2025-11-14,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-14 20:45:00,2025-11-14 22:25:00,100,ZH1639,Shenzhen Airlines,Economy,Sufficient,737,Medium Aircraft,Boeing,490,1,318,32
Beijing,Harbin,2025-11-16,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-16 06:40:00,2025-11-16 08:45:00,125,CA1621,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,300,1,305,"62,75"
Beijing,Harbin,2025-11-16,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-16 07:00:00,2025-11-16 09:10:00,130,CZ6657,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,270,1,306,"62,75"
Beijing,Harbin,2025-11-16,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-16 07:25:00,2025-11-16 09:20:00,115,CA1689,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,320,1,311,"62,75"
Beijing,Harbin,2025-11-16,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-16 12:00:00,2025-11-16 14:05:00,125,CZ6220,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,350,1,313,"62,75"
Beijing,Harbin,2025-11-16,PEK,Beijing Capital International Airport,HRB,Taiping International Airport,2025-11-16 12:55:00,2025-11-16 14:55:00,120,SC5746,Shandong Airlines,Economy,Sufficient,737MAX8,Medium Aircraft,Boeing,540,1,322,"62,75"
Beijing,Harbin,2025-11-16,PKX,Beijing Daxing International Airport,PVG,Shanghai Pudong International Airport,2025-11-16 13:00:00,2025-11-16 15:00:00,120,MU5196,China Eastern Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,938,1,327,"62,75"
Beijing,Harbin,2025-11-16,PKX,Beijing Daxing International Airport,HRB,Taiping International Airport,2025-11-16 15:00:00,2025-11-16 17:15:00,135,3U1600,Sichuan Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,520,1,320,"62,75"
