origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index,sample_id
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-15 06:25:00,2025-11-15 10:10:00,225,CA1393,Air China,Economy,Sufficient,330,Large Aircraft,Airbus,830,1,406,58
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-15 06:25:00,2025-11-15 10:10:00,225,ZH1393,Shenzhen Airlines,Economy,Sufficient,330,Large Aircraft,Airbus,830,1,405,58
Beijing,Shenzhen,2025-11-15,PKX,Beijing Daxing International Airport,SZX,Bao'an International Airport,2025-11-15 06:55:00,2025-11-15 11:55:00,300,DZ6210,Donghai Airlines,Economy,Sufficient,737-800,Medium Aircraft,Boeing,800,1,404,58
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SHA,Hongqiao International Airport,2025-11-15 13:00:00,2025-11-15 15:05:00,125,MU5112,China Eastern Airlines,Economy,Sufficient,330,Large Aircraft,Airbus,894,1,428,58
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-15 14:30:00,2025-11-15 17:55:00,205,HU7709,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,900,1,412,58
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-15 16:11:00,2025-11-15 19:31:00,200,HU7703,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,1000,1,415,58
Beijing,Shenzhen,2025-11-15,SHA,Hongqiao International Airport,SZX,Bao'an International Airport,2025-11-15 16:20:00,2025-11-15 18:40:00,140,MU5349,China Eastern Airlines,Economy,Sufficient,330,Large Aircraft,Airbus,894,2,428,58
Beijing,Shenzhen,2025-11-15,PKX,Beijing Daxing International Airport,SZX,Bao'an International Airport,2025-11-15 16:25:00,2025-11-15 20:00:00,215,CZ3168,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,889,1,408,58
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-15 18:10:00,2025-11-15 21:35:00,205,GS5701,Hainan Airlines | Tianjin Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,1000,1,414,58
Beijing,Shenzhen,2025-11-15,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-15 19:30:00,2025-11-15 23:00:00,210,HU7713,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,1000,1,417,58
Beijing,Shenzhen,2025-11-15,PKX,Beijing Daxing International Airport,SZX,Bao'an International Airport,2025-11-15 19:38:00,2025-11-15 22:58:00,200,CZ3156,China Southern Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,1020,1,416,58
Beijing,Shenzhen,2025-11-17,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-17 06:25:00,2025-11-17 10:10:00,225,CA1393,Air China,Economy,Sufficient,330,Large Aircraft,Airbus,830,1,406,92
Beijing,Shenzhen,2025-11-17,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-17 06:25:00,2025-11-17 10:10:00,225,ZH1393,Shenzhen Airlines,Economy,Sufficient,330,Large Aircraft,Airbus,830,1,405,92
Beijing,Shenzhen,2025-11-17,PKX,Beijing Daxing International Airport,SZX,Bao'an International Airport,2025-11-17 06:55:00,2025-11-17 11:55:00,300,DZ6210,Donghai Airlines,Economy,Sufficient,737-800,Medium Aircraft,Boeing,800,1,404,92
Beijing,Shenzhen,2025-11-17,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-17 08:30:00,2025-11-17 11:55:00,205,GS5701,Hainan Airlines | Tianjin Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,1000,1,414,92
Beijing,Shenzhen,2025-11-17,PKX,Beijing Daxing International Airport,SZX,Bao'an International Airport,2025-11-17 09:00:00,2025-11-17 12:20:00,200,CZ3156,China Southern Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,1020,1,416,92
Beijing,Shenzhen,2025-11-17,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-17 09:30:00,2025-11-17 12:50:00,200,HU7703,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,1000,1,415,92
Beijing,Shenzhen,2025-11-17,PKX,Beijing Daxing International Airport,SZX,Bao'an International Airport,2025-11-17 11:00:00,2025-11-17 14:35:00,215,CZ3168,China Southern Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,889,1,408,92
Beijing,Shenzhen,2025-11-17,PEK,Beijing Capital International Airport,SHA,Hongqiao International Airport,2025-11-17 13:00:00,2025-11-17 15:05:00,125,MU5112,China Eastern Airlines,Economy,Sufficient,330,Large Aircraft,Airbus,894,1,428,92
Beijing,Shenzhen,2025-11-17,PEK,Beijing Capital International Airport,SZX,Bao'an International Airport,2025-11-17 14:30:00,2025-11-17 17:55:00,205,HU7709,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,900,1,412,92
