origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index,sample_id
Beijing,Xi'an,2025-11-15,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-15 06:40:00,2025-11-15 08:55:00,135,9H7137,Hainan Airlines | Changan Airlines,Economy,Sufficient,737,Medium Aircraft,Boeing,450,1,238,41
Beijing,Xi'an,2025-11-15,PKX,Beijing Daxing International Airport,XIY,Xianyang International Airport,2025-11-15 08:30:00,2025-11-15 10:35:00,125,MF1631,Xiamen Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,318,1,232,41
Beijing,Xi'an,2025-11-15,PEK,Beijing Capital International Airport,TAO,Qingdao Jiaodong International Airport,2025-11-15 09:00:00,2025-11-15 10:25:00,85,CA1575,Air China,Economy,Sufficient,320,Medium Aircraft,Airbus,600,1,253,41
Beijing,Xi'an,2025-11-15,PKX,Beijing Daxing International Airport,XIY,Xianyang International Airport,2025-11-15 09:00:00,2025-11-15 10:55:00,115,MU2104,China Eastern Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,445,1,240,41
Beijing,Xi'an,2025-11-15,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-15 11:55:00,2025-11-15 14:15:00,140,HU7237,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,450,1,246,41
Beijing,Xi'an,2025-11-15,TAO,Qingdao Jiaodong International Airport,XIY,Xianyang International Airport,2025-11-15 12:35:00,2025-11-15 14:50:00,135,CA4863,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,600,2,253,41
Beijing,Xi'an,2025-11-15,PKX,Beijing Daxing International Airport,XIY,Xianyang International Airport,2025-11-15 12:55:00,2025-11-15 15:00:00,125,MU2110,China Eastern Airlines,Economy,Sufficient,320NEO,Medium Aircraft,Airbus,445,1,244,41
Beijing,Xi'an,2025-11-15,PKX,Beijing Daxing International Airport,XIY,Xianyang International Airport,2025-11-15 17:00:00,2025-11-15 19:10:00,130,KN6386,China United Airlines,Economy,Sufficient,320,Medium Aircraft,Airbus,564,1,248,41
Beijing,Xi'an,2025-11-15,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-15 17:00:00,2025-11-15 19:20:00,140,SC5351,Shandong Airlines,Economy,Sufficient,319,Medium Aircraft,Airbus,430,1,242,41
Beijing,Xi'an,2025-11-15,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-15 19:15:00,2025-11-15 21:25:00,130,HU7537,Hainan Airlines | Hainan Airlines,Economy,Sufficient,737,Medium Aircraft,Boeing,400,1,239,41
Beijing,Xi'an,2025-11-15,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-15 20:15:00,2025-11-15 22:25:00,130,CA1205,Air China,Economy,Sufficient,321,Medium Aircraft,Airbus,900,1,249,41
Beijing,Xi'an,2025-11-16,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-16 06:40:00,2025-11-16 08:55:00,135,9H7137,Hainan Airlines | Changan Airlines,Economy,Sufficient,737,Medium Aircraft,Boeing,450,1,238,71
Beijing,Xi'an,2025-11-16,PKX,Beijing Daxing International Airport,XIY,Xianyang International Airport,2025-11-16 08:30:00,2025-11-16 10:35:00,125,MF1631,Xiamen Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,318,1,232,71
Beijing,Xi'an,2025-11-16,PEK,Beijing Capital International Airport,TAO,Qingdao Jiaodong International Airport,2025-11-16 09:00:00,2025-11-16 10:25:00,85,CA1575,Air China,Economy,Sufficient,320,Medium Aircraft,Airbus,600,1,253,71
Beijing,Xi'an,2025-11-16,PKX,Beijing Daxing International Airport,XIY,Xianyang International Airport,2025-11-16 09:00:00,2025-11-16 10:55:00,115,MU2104,China Eastern Airlines,Economy,Sufficient,321,Medium Aircraft,Airbus,445,1,240,71
Beijing,Xi'an,2025-11-16,PEK,Beijing Capital International Airport,XIY,Xianyang International Airport,2025-11-16 11:55:00,2025-11-16 14:15:00,140,HU7237,Hainan Airlines | Hainan Airlines,Economy,Sufficient,787,Large Aircraft,Boeing,450,1,246,71
Beijing,Xi'an,2025-11-16,TAO,Qingdao Jiaodong International Airport,XIY,Xianyang International Airport,2025-11-16 12:35:00,2025-11-16 14:50:00,135,CA4863,Air China,Economy,Sufficient,737,Medium Aircraft,Boeing,600,2,253,71
