city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Beijing,Club Med Joyview Beijing Yanqing,"No. 66 Gulong Road, Zhangshanying Town, Yanqing District, Beijing, China",40.463240,115.820770,2019,5,605,4.5,,SPA service; Washer and dryer; TV screen casting
Beijing,Ji Hotel Beijing Sanlitun Taikoo Li,"Building 1, No. 55 Xingfu Yicun, Chaoyang District, Beijing",39.934400,116.448000,2019,3,558,4.6,Ji Hotel,Gym; Pool; TV screen casting
Beijing,Ji Hotel Beijing Zhongguancun University of Science and Technology,No. Jia 8 Zhixin East Road,39.992100,116.369000,2019,3,689,4.9,Ji Hotel,SPA service; Robot room service; Washer and dryer; Free parking
Beijing,Ji Hotel Beijing Asian Games Village Bird's Nest,"4th Floor, Kaijilun Building, No. 3 Xiaoying East Road, Chaoyang District, Beijing",39.993900,116.427000,2019,3,214,4.6,Ji Hotel,Free parking; Robot room service; Pool; Washer and dryer; Gym; TV screen casting
Beijing,Ji Hotel Beijing Qianmen Courtyard,"No. 33 Beilucaoyuan Hutong, Dongcheng District, Beijing",39.894600,116.407000,2019,3,630,4.7,Ji Hotel,SPA service; Gym; Free parking; Pool; Robot room service; Washer and dryer; TV screen casting
Beijing,Ji Hotel Beijing Shilihe,"Room 186, 1st Floor, Building C, North Side, East Entrance of Zu'anmen East Road, Chaoyang District, Beijing",39.867700,116.458000,2020,3,413,4.9,Ji Hotel,SPA service; Pool; TV screen casting
Beijing,Ji Hotel Beijing Nanluoguxiang Andingmen Metro Station,"No. Jia 11 Cheniandian Hutong, Inside Andingmen, Dongcheng District, Beijing",39.945500,116.406000,2017,3,615,4.7,Ji Hotel,SPA service; Gym; Robot room service
Beijing,Ji Hotel Beijing Guomao,"No. Jia 12 Xidawang Road, Chaoyang District, Beijing",39.902800,116.473000,2019,3,477,4.6,Ji Hotel,SPA service; Washer and dryer; Gym; Free parking; Robot room service
Beijing,Ji Hotel Beijing Tongzhou Songzhuang Anzhen Hospital,"No. 47 East Xusong Road, Xiaobao Village, Songzhuang Town, Tongzhou District, Beijing",39.946800,116.724000,2023,3,394,4.9,Ji Hotel,Gym; Free parking; Washer and dryer; TV screen casting; SPA service
Beijing,Century Golden Resources Xiangshan Business Hotel Beijing,No. 59 Beizhenghuangqi,39.991396,116.202953,2010,5,606,4.8,,Washer and dryer; TV screen casting; Free parking; Pool
Beijing,CITIC Jinling Hotel Beijing,"No. Jia 1 Xiyu, Dahua Mountain Town, near Pinggu Xiyu Water Park",40.311076,117.101383,2012,5,709,4.7,,SPA service; TV screen casting; Pool; Washer and dryer
Beijing,Atour Hotel Beijing Zhongguancun Yongfeng Base,"Building 29, Courtyard 5, Fengrun Middle Road",40.081823,116.229852,2019,4,557,4.6,Atour,SPA service; Free parking; Gym; Robot room service
Beijing,Lebuo Marriott Hotel Beijing,"No. 29 Nankou Road, Chengnan Street",40.232499,116.188641,2018,5,833,4.6,Marriott,Gym; Free parking; SPA service; Robot room service; Washer and dryer; TV screen casting
Beijing,Atour Hotel Beijing Yizhuang Mobile Silicon Valley,"West Gate, Courtyard 6, Kegu Second Street, Beijing Economic-Technological Development Area, Yizhuang, Beijing",39.785778,116.582448,2019,4,405,4.9,Atour,Gym; Free parking; Pool; TV screen casting
Beijing,Gubei Water Town Grand Hotel Beijing,"Simatai Area, Gubei Water Town Tourism and Resort Scenic Area",40.644311,117.269432,2015,5,927,4.4,,Free parking; Robot room service; Pool; TV screen casting
Beijing,Atour Hotel Beijing You'anmen West Tietying Metro Station,"Building A, New Era International Center, Building 1, Courtyard 5, Fuyi Street",39.858132,116.354637,2021,4,653,4.5,Atour,Gym; Washer and dryer
Beijing,Beijing Harry Potter Aoligei Homestay,Beijing Tongzhou Ziyouzhu - Phase 3 Ziyouzhu Phase 3 (Please contact the landlord for the detailed address),39.875934,116.697119,2020,3,258,4.9,,Robot room service; TV screen casting; Washer and dryer
Beijing,Atour Hotel Beijing Guomao Shuangjing,"No. 5 East 3rd Ring South Road, Chaoyang District, Beijing, China",39.890911,116.461003,2024,4,570,4.8,Atour,Gym; Robot room service; TV screen casting; SPA service; Pool
Beijing,Hampton by Hilton Beijing Guomao Business District,No. 37 Jianguo Road,39.908560,116.521174,2020,4,715,4.8,Hilton,SPA service; Robot room service; Pool; TV screen casting
Beijing,Atour Hotel Beijing Guomao Chaoyang Joy City,"No. 57 Ganluyuan, Chaoyang District, Beijing",39.918994,116.513625,2021,4,570,4.8,Atour,Gym; Robot room service; SPA service; Pool; Washer and dryer
Beijing,Hilton Beijing Daxing,"Building 18, Gaomidian Nanli, Daxing District, Beijing, China",39.768750,116.339146,2020,5,838,4.5,Hilton,SPA service; Free parking; Washer and dryer; TV screen casting; Robot room service; Gym; Pool
Beijing,Fairfield by Marriott Beijing Daxing Airport,"Building 3, Courtyard 6, Yuanjing West Second Road, Daxing District, Beijing",39.525579,116.409947,2023,4,490,4.9,,Free parking; Robot room service; Pool; TV screen casting; SPA service; Washer and dryer
Beijing,Radisson Blu Hotel Beijing Daxing Airport,"Building 4, Courtyard 2, Yuanjing West Second Road",39.525658,116.413190,2024,5,466,4.7,,SPA service; Gym; Free parking; Robot room service
Beijing,Beijing Dayue Hotel,No. Yi 131 Xidan North Street,39.910967,116.373479,2019,5,1137,4.6,,SPA service; Gym; Free parking; Robot room service
Beijing,Atour X Hotel Beijing Dacheng Road PLA General Hospital 301,"Building 1, Courtyard 6, Dacheng Road, Fengtai District, Beijing",39.888685,116.272711,2024,4,491,4.6,Atour,SPA service; Gym; TV screen casting
Beijing,Hilton Garden Inn Beijing Tiantan East Gate Station,"No. 3 Zu'anmen Inner Street, Dongcheng District, Beijing",39.883391,116.433820,2023,5,660,3.9,Hilton,Robot room service; Washer and dryer; TV screen casting; Pool
Beijing,Marriott Hotel Beijing Yanqing,"Courtyard 92, Xincheng Street, Yanqing District",40.476067,115.983884,2021,5,569,4.6,Marriott,Free parking; Pool
Beijing,Atour Hotel Beijing Chaoyang Wangjing SOHO,"No. 610 Wangjingyuan, Chaoyang District, Beijing",39.989343,116.476707,2019,4,557,4.7,Atour,SPA service; Gym; Robot room service; Free parking; Pool
Beijing,Atour Hotel Beijing Happy Valley Scenic Area Metro Station,"Building Jia 1, Courtyard 2, Wanli Center, Jincan North Road, Chaoyang District, Beijing",39.867065,116.501330,2025,4,587,4.5,Atour,Gym; Pool; TV screen casting
Beijing,Beijing Shuicheng Yipiao Private Hot Spring Resort Hotel,"20 meters south of Kangxi Palace, Hongfu Street",40.102522,116.371229,2023,5,3680,5,,Robot room service; Washer and dryer; TV screen casting
Beijing,Hilton Beijing Wangfujing,"No. 8 Wangfujing East Street, near Macau Center and Peninsula Hotel.",39.914538,116.413536,2009,5,1437,4.6,Hilton,Gym; Pool; Washer and dryer; TV screen casting; Free parking
Beijing,Rose Star Moon Select Hotel Beijing (Jiugong Yinghai Metro Station Branch),"Room 201, 2nd Floor, Building 1, Courtyard 8, Yingji Street; Room 211, 2nd Floor, Building 5 (Next to Yinghai Metro Station), Daxing District, Beijing",39.762948,116.450828,2018,3,232,4.4,,Gym; Washer and dryer
Beijing,Beijing Cuihu Garden Hotel,"No. 8 Cuihu Road, Shangzhuang Town",40.112365,116.204964,2024,3,248,4.9,,Robot room service; Pool; Washer and dryer
Beijing,Beijing West Guomao Grand Hotel,No. 16 Fengguan Road,39.855607,116.308886,2019,5,778,4.5,,SPA service; Gym; TV screen casting; Robot room service; Washer and dryer
Beijing,Homewood Suites by Hilton Beijing West Railway Station,"No. 2 Xizhan South Road, Fengtai District, Beijing",39.888859,116.321479,2022,4,688,4.4,Hilton,Free parking; Washer and dryer; TV screen casting; SPA service; Gym
Beijing,Hualing Natural Promise Hotel (Chaoyang Joy City Qingnianlu Metro Station Branch),"Room 106, Ground Floor Commercial Space, Building 2, South Zone, Swan Bay, Yacheng Sanli, Ganlu Yuan Middle Street, Chaoyang District, Beijing",39.920372,116.523057,2025,3,408,4.8,,Free parking; Washer and dryer; TV screen mirroring; SPA services; Gym; Robot room service
Beijing,Elan Hotel - Beijing Jianguomen Branch,"Elan Hotel (Beijing Jianguomen Branch), Jianhua South Road, Jianwai Subdistrict, Chaoyang District, Beijing",39.907091,116.443966,2020,4,576,4.6,,Gym; Free parking; TV screen mirroring
Beijing,Jiffy International Hotel (Beijing New National Convention Center Li Auto R&D Headquarters Branch),"Courtyard 1, Building 95, Zhangxizhuang Section, Shunsha Road",40.147076,116.553454,2020,3,212,4.5,,Gym; Free parking; Robot room service; Washer and dryer
Beijing,Home Inn Select Beijing Universal Resort Songzhuang Branch,"Home Inn Select Hotel, Building 3, Courtyard 3, South of Xiaobao Village, Tongzhou District, Beijing",39.943503,116.723803,2022,3,290,4.8,Home Inn,SPA services; Gym; Robot room service; Washer and dryer
Beijing,CitiGO Hotel (Beijing South Railway Station Majiapu Road Branch),"1st Floor, Building 26, No. 122 Majiapu Road, Fengtai District, Beijing",39.847955,116.379932,2020,3,319,4.8,,SPA services; Gym; Washer and dryer; Swimming pool
Beijing,Orange Hotel Beijing Qianmen Street,"No. 131 Zhushikou West Street, Xicheng District, Beijing",39.890300,116.392000,2019,3,625,4.7,Orange Hotel,Swimming pool; TV screen mirroring
Beijing,Orange Hotel Beijing South Railway Station,"No. 12 Majiapu Road, Fengtai District, Beijing",39.863783,116.385804,2022,3,560,4.9,Orange Hotel,Robot room service; Washer and dryer; Gym; TV screen mirroring
Beijing,Orange Hotel Beijing Temple of Heaven North Gate Qiaowan Subway Station,"No. 38 Xixiaoshi Street, Dongcheng District, Beijing",39.890800,116.408000,2017,3,657,4.8,Orange Hotel,Gym; Free parking; Robot room service; Swimming pool
Beijing,Orange Hotel Beijing Temple of Heaven,"Building 1, Courtyard 9, Pufang Road, Fengtai District, Beijing",39.866966,116.422194,2016,3,449,4.4,Orange Hotel,Gym; Free parking; Swimming pool
Beijing,Orange Hotel Beijing Tiananmen Dashilan,"No. 11 West Street, Dashilan Subdistrict",39.895744,116.394075,2022,3,836,4.9,Orange Hotel,Free parking; Robot room service; SPA services; Gym; Swimming pool; Washer and dryer
Beijing,Orange Hotel Beijing Wangfujing,"No. 57 Dengshikou Street, Dongcheng District, Beijing",39.918800,116.413000,2019,3,611,4.7,Orange Hotel,Free parking; Robot room service; SPA services; Washer and dryer
Beijing,Orange Hotel Beijing Shijingshan Baguoyuleyuan,"Partial 1st Floor and Entire Floors 3-10, Building 3, Jindu Building, No. 25 Bagu East Street",39.920499,116.205539,2024,3,471,4.9,Orange Hotel,Free parking; Robot room service; Swimming pool; Washer and dryer
Beijing,Hanting Hotel Beijing Convention Center Wangjing Laiguangying,No. 18 Laiguangying West Road,40.022800,116.449000,2022,2,273,4.9,Hanting Hotel,Free parking; Robot room service; Swimming pool
Beijing,Hanting Hotel Beijing Chaoyang Railway Station (Former Chaoyang Park Bridge East Branch),"No. 1 Jia, Shifoying Dongli, Chaoyang District, Beijing",39.936047,116.502811,2018,2,261,4.8,Hanting Hotel,Gym; TV screen mirroring; Swimming pool; Washer and dryer
Beijing,Hanting Hotel Beijing Xidan Center,"No. 71 Jia, Taipu Si Street, Xicheng District, Beijing",39.912500,116.377000,2015,2,582,4.8,Hanting Hotel,SPA services; Free parking; Robot room service
Beijing,Qiu Guo Hotel Smart Selection (Beijing Beiqijia Wendu Water City Branch),"No. 1, Building 8, Courtyard 10, Hongfu, Beiqijia Town",40.100075,116.366817,2021,3,236,4.6,,Free parking; Robot room service; Swimming pool; Washer and dryer; TV screen mirroring; SPA services
Beijing,Meipeng Light Luxury Hotel (Beijing Fatou Subway Station Branch),"No. 19, No. 285 Fatou Road, Chaoyang District, Beijing",39.857450,116.514365,2024,4,322,4.8,,Gym; Free parking; Swimming pool; TV screen mirroring; Washer and dryer
Beijing,Jinjiang Inn Beijing Wangfujing Pedestrian Street,No. 75 Dengshikou Street,39.918908,116.412248,2020,2,530,4.6,Jinjiang Inn,Free parking; Robot room service; Swimming pool; Washer and dryer; SPA services; Gym; TV screen mirroring
Beijing,Jinjiang Inn Beijing Capital International Airport New National Convention Center Subway Station,"14th Floor, Building 1, Courtyard 1, Fuqian Second Street, Tianzhu Town, Shunyi District, Beijing",40.062471,116.587459,2025,2,217,4.8,Jinjiang Inn,SPA services; Free parking; Washer and dryer; TV screen mirroring
Beijing,Jinjiang Inn (Beijing Chaoyang North Road Caofang Subway Station Branch),"1st and 2nd Floors, Building 1, Comprehensive Building, 200m South of Caofang Subway Station East, Changying Hui Ethnic Township, Chaoyang District, Beijing",39.925024,116.619785,2024,2,354,4.7,Jinjiang Inn,Robot room service; Swimming pool
