poi_name,latitude,longitude,address,poi_type
Universal Beijing Resort,39.860990,116.687820,,attraction
The Palace Museum,39.924091,116.403414,,attraction
Badaling Great Wall,40.362639,116.024067,,attraction
National Museum of China,39.911449,116.408018,,attraction
Summer Palace,40.008817,116.280234,,attraction
Prince Gong's Mansion,39.943381,116.392599,,attraction
Temple of Heaven,39.889918,116.419289,,attraction
Old Summer Palace,40.016191,116.309736,,attraction
Mutianyu Great Wall,40.440146,116.575896,,attraction
Beijing Zoo,39.947726,116.342331,,attraction
Beijing Wildlife Park,39.502139,116.340954,,attraction
China Science and Technology Museum,40.012333,116.404938,,attraction
Olympic Park,39.999245,116.399206,,attraction
Tiananmen Square,39.910095,116.404091,,attraction
Yonghe Temple,39.953314,116.423776,,attraction
Bird's Nest (National Stadium),39.999285,116.402845,,attraction
Ming Tombs,40.263544,116.231846,,attraction
Shichahai,39.948373,116.391243,,attraction
National Natural History Museum,39.889596,116.406249,,attraction
Jingshan Park,39.932136,116.402966,,attraction
Military Museum of the Chinese People's Revolution,39.914968,116.330210,,attraction
Geological Museum of China,39.929388,116.378741,,attraction
Gubei Water Town,40.661046,117.284632,,attraction
Beijing Happy Valley,39.873868,116.501309,,attraction
Beijing Aquarium,39.950257,116.347445,,attraction
Beijing Planetarium,39.943008,116.343380,,attraction
National Centre for the Performing Arts,39.911230,116.396261,,attraction
Xiangshan Park,39.995693,116.194051,,attraction
Beihai Park,39.934167,116.395006,,attraction
Nanluoguxiang,39.943166,116.409500,,attraction
Juyongguan Great Wall,40.297394,116.078214,,attraction
Chaoyang Park,39.950002,116.489114,,attraction
POP MART City Land,39.948516,116.481208,,attraction
Water Cube (National Aquatics Center),39.999266,116.396829,,attraction
Beijing Grand View Garden,39.877081,116.362822,,attraction
Beijing Auto Museum,39.835043,116.308108,,attraction
World Park,39.816710,116.293772,,attraction
Qianmen Street,39.899651,116.404520,,attraction
Wangfujing,39.919790,116.418038,,attraction
Tiananmen Tower,39.915407,116.403865,,attraction
Lao She Teahouse,39.906052,116.399659,,attraction
Madame Tussauds Beijing,39.903663,116.404671,,attraction
Temple of Confucius and the Imperial Academy Museum,39.953111,116.420343,,attraction
Badaling Wildlife World,40.359586,116.001343,,attraction
Treasure Gallery of the Forbidden City,39.925979,116.406346,,attraction
Hall of Supreme Harmony,39.923657,116.403432,,attraction
Mao Zedong Memorial Hall,39.908876,116.404145,,attraction
Meridian Gate,39.920105,116.403705,,attraction
Pacific Underwater World,39.924905,116.312596,,attraction
798 Art District,39.991061,116.501104,,attraction
Tsinghua University Art Museum,40.007638,116.342234,,attraction
Central Radio & TV Tower,39.925494,116.313595,,attraction
Deyun Society Theater,39.890323,116.404395,,attraction
Mutianyu Great Wall Cable Car and Toboggan,40.437922,116.570303,,attraction
Yanqi Lake,40.403587,116.690837,,attraction
Former Residence of Soong Ching Ling in Beijing,39.951737,116.389564,,attraction
Water Cube Water Park,39.998775,116.396620,,attraction
Tanzhe Temple,39.911220,116.037620,,attraction
Huanghuacheng Water Great Wall,40.419287,116.307167,,attraction
Dashilan,39.901535,116.397634,,attraction
Bell and Drum Towers,39.948732,116.402360,,attraction
Drum Tower,39.946841,116.402370,,attraction
Beijing Olympic Tower,40.014691,116.400650,,attraction
Hongluo Temple,40.389488,116.634124,,attraction
Badachu Park,39.968352,116.189212,,attraction
Imperial Academy,39.953116,116.419591,,attraction
Museum of the Chinese People's Revolution,39.989186,116.397793,,attraction
Sanlitun,39.940602,116.458347,,attraction
Giant Panda Pavilion,39.945481,116.345810,,attraction
Fuguo Underwater World,39.933996,116.453669,,attraction
Longqing Gorge,40.557851,116.009343,,attraction
Dingling Tomb,40.300480,116.232421,,attraction
LEGOLAND Discovery Centre Beijing,39.930684,116.602649,,attraction
Simatai Great Wall,40.663649,117.292856,,attraction
Shijingshan Amusement Park,39.917840,116.215231,,attraction
Capital Museum,39.912283,116.349192,,attraction
Beijing Liu Laogen Grand Stage,39.899788,116.406961,,attraction
Hall of Prayer for Good Harvests,39.889922,116.419288,,attraction
Houhai,39.948183,116.394776,,attraction
Former Residence of Ji Xiaolan,39.896319,116.393561,,attraction
Guanfu Museum,40.013243,116.540404,,attraction
National Library of China,39.949689,116.329894,,attraction
National Art Museum of China,39.931462,116.415454,,attraction
Ditan Park,39.959692,116.419984,,attraction
China Rosewood Museum,39.916834,116.532527,,attraction
Beijing Labagou Primeval Forest Park,40.965737,116.495711,,attraction
Panjiayuan Antique Market,39.881199,116.465329,,attraction
Great Hall of the People,39.911394,116.400238,,attraction
Beijing Expo Park,40.450315,115.957449,,attraction
Jiugukou Nature Reserve,40.450379,116.668525,,attraction
World Flower Park,39.841376,116.359803,,attraction
Suspended Glass Art Museum,39.922161,116.418481,,attraction
Lugou Bridge,39.856421,116.228721,,attraction
Badaling Ancient Great Wall (Ruined Great Wall),40.356556,115.979423,,attraction
China Arts and Crafts Museum / China Intangible Cultural Heritage Museum,40.009944,116.404125,,attraction
teamLab Borderless,39.930772,116.524819,,attraction
Red Brick Art Museum,40.048543,116.506291,,attraction
National Speed Skating Oval,40.023485,116.384188,,attraction
Echo Wall,39.884433,116.419510,,attraction
Beijing Maya Beach Water Park,39.873927,116.500997,,attraction
Liangma River International Waterfront,39.955013,116.485426,,attraction
Wendu Water City · Water Dream Wonderland,40.110253,116.377085,,attraction
Yuyuantan Park,39.921950,116.329057,,attraction
China Film Museum,40.002800,116.526921,,attraction
CITIC Tower,39.922006,116.458637,,attraction
Baiyun Temple,39.906539,116.350119,,attraction
"Clock Gallery, Palace Museum",39.925225,116.405192,,attraction
