origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index,sample_id
Beijing,Harbin,2025-11-14,FTP,Beijing Fengtai,CCT,Changchun,2025-11-14 06:02:00,2025-11-14 15:29:00,567,Z156,Regular Express,Hard Seat,Sufficient,202.5,1,456,32
Beijing,Harbin,2025-11-14,CCT,Changchun,VAB,Harbin West,2025-11-14 15:46:00,2025-11-14 16:54:00,68,D547,EMU,Second Class Seat,Sufficient,202.5,2,456,32
Beijing,Harbin,2025-11-14,FTP,Beijing Fengtai,CCT,Changchun,2025-11-14 05:54:00,2025-11-14 15:23:00,569,Z112,Regular Express,Hard Seat,Sufficient,202.5,1,458,32
Beijing,Harbin,2025-11-14,CCT,Changchun,VAB,Harbin West,2025-11-14 15:46:00,2025-11-14 16:54:00,68,D547,EMU,Second Class Seat,Sufficient,202.5,2,458,32
Beijing,Harbin,2025-11-14,BJP,Beijing,BEP,Beidaihe Station,2025-11-14 11:22:00,2025-11-14 13:35:00,133,C115,Intercity,Second Class Seat,Sufficient,466.0,1,478,32
Beijing,Harbin,2025-11-14,BEP,Beidaihe Station,VAB,Harbin West,2025-11-14 13:52:00,2025-11-14 19:12:00,320,G1261,High-Speed Rail,Second Class Seat,Sufficient,466.0,2,478,32
Beijing,Harbin,2025-11-14,IFP,Beijing Chaoyang,VAB,Harbin West,2025-11-14 10:42:00,2025-11-14 16:29:00,347,G3511,High-Speed Rail,Second Class Seat,Sufficient,559.0,1,481,32
Beijing,Harbin,2025-11-14,IFP,Beijing Chaoyang,CRT,Changchun West Railway Station,2025-11-14 14:36:00,2025-11-14 18:21:00,225,G915,High-Speed Rail,First Class Seat,Sufficient,1141.0,1,485,32
Beijing,Harbin,2025-11-14,CRT,Changchun West Railway Station,VAB,Harbin West,2025-11-14 18:36:00,2025-11-14 19:42:00,66,D565,EMU,Second Class Seat,Sufficient,591.0,2,485,32
Beijing,Harbin,2025-11-14,BXP,Beijing West,VAB,Harbin West,2025-11-14 08:56:00,2025-11-14 14:19:00,323,G907,High-Speed Rail,Second Class Seat,Sufficient,607.0,1,487,32
Beijing,Harbin,2025-11-14,IFP,Beijing Chaoyang,PXT,Tieling West Station,2025-11-14 12:14:00,2025-11-14 15:03:00,169,G925,High-Speed Rail,Second Class Seat,Sufficient,564.0,1,488,32
Beijing,Harbin,2025-11-14,PXT,Tieling West Station,HBB,Harbin,2025-11-14 15:49:00,2025-11-14 18:09:00,140,G1237,High-Speed Rail,Second Class Seat,Sufficient,564.0,2,488,32
Beijing,Harbin,2025-11-14,IFP,Beijing Chaoyang,VAB,Harbin West,2025-11-14 08:25:00,2025-11-14 14:13:00,348,G3503,High-Speed Rail,Second Class Seat,Sufficient,595.0,1,490,32
Beijing,Harbin,2025-11-14,IFP,Beijing Chaoyang,SBT,Shenyang North,2025-11-14 16:00:00,2025-11-14 18:29:00,149,G931,High-Speed Rail,Second Class Seat,Sufficient,598.0,1,493,32
Beijing,Harbin,2025-11-14,SBT,Shenyang North,HBB,Harbin,2025-11-14 18:52:00,2025-11-14 21:17:00,145,G777,High-Speed Rail,Second Class Seat,Sufficient,598.0,2,493,32
Beijing,Harbin,2025-11-14,BJP,Beijing,VAB,Harbin West,2025-11-14 14:09:00,2025-11-14 19:19:00,310,G915,High-Speed Rail,First Class Seat,Sufficient,1141.0,1,500,32
Beijing,Harbin,2025-11-16,FTP,Beijing Fengtai,CCT,Changchun,2025-11-16 06:02:00,2025-11-16 15:29:00,567,Z156,Regular Express,Hard Seat,Sufficient,202.5,1,456,"62,75"
Beijing,Harbin,2025-11-16,CCT,Changchun,VAB,Harbin West,2025-11-16 15:46:00,2025-11-16 16:54:00,68,D547,EMU,Second Class Seat,Sufficient,202.5,2,456,"62,75"
Beijing,Harbin,2025-11-16,FTP,Beijing Fengtai,CCT,Changchun,2025-11-16 05:54:00,2025-11-16 15:23:00,569,Z112,Regular Express,Hard Seat,Sufficient,202.5,1,458,"62,75"
Beijing,Harbin,2025-11-16,CCT,Changchun,VAB,Harbin West,2025-11-16 15:46:00,2025-11-16 16:54:00,68,D547,EMU,Second Class Seat,Sufficient,202.5,2,458,"62,75"
Beijing,Harbin,2025-11-16,BJP,Beijing,BEP,Beidaihe Station,2025-11-16 11:22:00,2025-11-16 13:35:00,133,C115,Intercity,Second Class Seat,Sufficient,466.0,1,478,"62,75"
Beijing,Harbin,2025-11-16,BEP,Beidaihe Station,VAB,Harbin West,2025-11-16 13:52:00,2025-11-16 19:12:00,320,G1261,High-Speed Rail,Second Class Seat,Sufficient,466.0,2,478,"62,75"
Beijing,Harbin,2025-11-16,IFP,Beijing Chaoyang,VAB,Harbin West,2025-11-16 10:42:00,2025-11-16 16:29:00,347,G3511,High-Speed Rail,Second Class Seat,Sufficient,559.0,1,481,"62,75"
Beijing,Harbin,2025-11-16,IFP,Beijing Chaoyang,CRT,Changchun West Railway Station,2025-11-16 14:36:00,2025-11-16 18:21:00,225,G915,High-Speed Rail,Second Class Seat,Sufficient,591.0,1,485,"62,75"
Beijing,Harbin,2025-11-16,CRT,Changchun West Railway Station,VAB,Harbin West,2025-11-16 18:36:00,2025-11-16 19:42:00,66,D565,EMU,Second Class Seat,Sufficient,591.0,2,485,"62,75"
Beijing,Harbin,2025-11-16,BXP,Beijing West,VAB,Harbin West,2025-11-16 08:56:00,2025-11-16 14:19:00,323,G907,High-Speed Rail,Second Class Seat,Sufficient,607.0,1,487,"62,75"
Beijing,Harbin,2025-11-16,IFP,Beijing Chaoyang,PXT,Tieling West Station,2025-11-16 12:14:00,2025-11-16 15:03:00,169,G925,High-Speed Rail,Second Class Seat,Sufficient,564.0,1,488,"62,75"
Beijing,Harbin,2025-11-16,PXT,Tieling West Station,HBB,Harbin,2025-11-16 15:49:00,2025-11-16 18:09:00,140,G1237,High-Speed Rail,Second Class Seat,Sufficient,564.0,2,488,"62,75"
Beijing,Harbin,2025-11-16,IFP,Beijing Chaoyang,VAB,Harbin West,2025-11-16 08:25:00,2025-11-16 14:13:00,348,G3503,High-Speed Rail,Second Class Seat,Sufficient,595.0,1,490,"62,75"
Beijing,Harbin,2025-11-16,IFP,Beijing Chaoyang,SBT,Shenyang North,2025-11-16 16:00:00,2025-11-16 18:29:00,149,G931,High-Speed Rail,Second Class Seat,Sufficient,598.0,1,493,"62,75"
Beijing,Harbin,2025-11-16,SBT,Shenyang North,HBB,Harbin,2025-11-16 18:52:00,2025-11-16 21:17:00,145,G777,High-Speed Rail,Second Class Seat,Sufficient,598.0,2,493,"62,75"
Beijing,Harbin,2025-11-16,BJP,Beijing,VAB,Harbin West,2025-11-16 14:09:00,2025-11-16 19:19:00,310,G915,High-Speed Rail,Second Class Seat,Sufficient,641.0,1,500,"62,75"
Beijing,Harbin,2026-04-18,BJP,Beijing,HBB,Harbin,2026-04-18 12:24:00,2026-04-19 02:06:00,822,T297,Regular Express,No Seat,Sufficient,156.5,1,2824,1
Beijing,Harbin,2026-04-18,BJP,Beijing,HBB,Harbin,2026-04-18 12:24:00,2026-04-19 02:06:00,822,T297,Regular Express,Hard Sleeper,0,268.5,1,2824,3
Beijing,Harbin,2026-04-18,BJP,Beijing,HBB,Harbin,2026-04-18 12:24:00,2026-04-19 02:06:00,822,T297,Regular Express,Hard Seat,0,156.5,1,2824,4
Beijing,Harbin,2026-04-18,BJP,Beijing,HBB,Harbin,2026-04-18 12:24:00,2026-04-19 02:06:00,822,T297,Regular Express,Soft Sleeper,0,422.5,1,2824,2
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:00:00,2026-04-18 18:47:00,287,G117,High-Speed Rail,First Class Seat,0,957,1,2825,7
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:00:00,2026-04-18 18:47:00,287,G117,High-Speed Rail,Second Class Seat,0,598,1,2825,8
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:00:00,2026-04-18 18:47:00,287,G117,High-Speed Rail,Business Class Seat,0,1884,1,2825,6
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:00:00,2026-04-18 18:47:00,287,G117,High-Speed Rail,No Seat,Sufficient,598,1,2825,9
Beijing,Harbin,2026-04-18,BJP,Beijing,VAB,Harbin West,2026-04-18 14:12:00,2026-04-18 19:19:00,307,G121,High-Speed Rail,First Class Seat,0,1025,1,2826,12
Beijing,Harbin,2026-04-18,BJP,Beijing,VAB,Harbin West,2026-04-18 14:12:00,2026-04-18 19:19:00,307,G121,High-Speed Rail,Second Class Seat,0,641,1,2826,13
Beijing,Harbin,2026-04-18,BJP,Beijing,VAB,Harbin West,2026-04-18 14:12:00,2026-04-18 19:19:00,307,G121,High-Speed Rail,Business Class Seat,0,1994,1,2826,11
Beijing,Harbin,2026-04-18,BJP,Beijing,VAB,Harbin West,2026-04-18 14:12:00,2026-04-18 19:19:00,307,G121,High-Speed Rail,No Seat,Sufficient,641,1,2826,14
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:16:00,2026-04-18 20:22:00,366,G3519,High-Speed Rail,First Class Seat,18,952,1,2827,18
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:16:00,2026-04-18 20:22:00,366,G3519,High-Speed Rail,Second Class Seat,Sufficient,595,1,2827,20
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:16:00,2026-04-18 20:22:00,366,G3519,High-Speed Rail,Business Class Seat,0,1875,1,2827,16
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:16:00,2026-04-18 20:22:00,366,G3519,High-Speed Rail,No Seat,Sufficient,595,1,2827,22
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:16:00,2026-04-18 20:40:00,384,G3519,High-Speed Rail,First Class Seat,18,957,1,2828,19
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:16:00,2026-04-18 20:40:00,384,G3519,High-Speed Rail,Second Class Seat,Sufficient,598,1,2828,21
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:16:00,2026-04-18 20:40:00,384,G3519,High-Speed Rail,Business Class Seat,0,1884,1,2828,17
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,HBB,Harbin,2026-04-18 14:16:00,2026-04-18 20:40:00,384,G3519,High-Speed Rail,No Seat,Sufficient,598,1,2828,23
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:36:00,2026-04-18 19:19:00,283,G121,High-Speed Rail,First Class Seat,0,1014,1,2829,27
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:36:00,2026-04-18 19:19:00,283,G121,High-Speed Rail,Second Class Seat,0,634,1,2829,28
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:36:00,2026-04-18 19:19:00,283,G121,High-Speed Rail,Business Class Seat,0,1969,1,2829,26
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:36:00,2026-04-18 19:19:00,283,G121,High-Speed Rail,No Seat,Sufficient,634,1,2829,29
Beijing,Harbin,2026-04-18,IFP,Beijing Chaoyang,VAB,Harbin West,2026-04-18 14:50:00,2026-04-18 19:25:00,275,G123,High-Speed Rail,First Class Seat,0,1014,1,2830,32
