origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index,sample_id
Beijing,Hohhot,2025-11-18,FTP,Beijing Fengtai,HHC,Hohhot,2025-11-18 11:05:00,2025-11-18 20:24:00,559,Z337,Regular Express,Hard Seat,Sufficient,86,1,360,"102,116"
Beijing,Hohhot,2025-11-18,QIP,Qinghe,ZMP,Zhangjiakou Station,2025-11-18 13:26:00,2025-11-18 14:19:00,53,D1073,EMU,Second Class Seat,Sufficient,168,1,364,"102,116"
Beijing,Hohhot,2025-11-18,ZMP,Zhangjiakou Station,NDC,Hohhot East,2025-11-18 14:47:00,2025-11-18 16:19:00,92,D1029,EMU,Second Class Seat,Sufficient,168,2,364,"102,116"
Beijing,Hohhot,2025-11-18,FTP,Beijing Fengtai,NDC,Hohhot East,2025-11-18 10:26:00,2025-11-18 20:44:00,618,K1177,Regular Express,Hard Seat,Sufficient,86,1,369,"102,116"
Beijing,Hohhot,2025-11-18,QIP,Qinghe,NDC,Hohhot East,2025-11-18 11:12:00,2025-11-18 13:44:00,152,D1005,EMU,Second Class Seat,Sufficient,189,1,371,"102,116"
Beijing,Hohhot,2025-11-18,FTP,Beijing Fengtai,HHC,Hohhot,2025-11-18 10:26:00,2025-11-18 21:06:00,640,K1177,Regular Express,Hard Seat,Sufficient,86,1,375,"102,116"
Beijing,Hohhot,2025-11-18,VAP,Beijing North,ZMP,Zhangjiakou Station,2025-11-18 08:44:00,2025-11-18 10:11:00,87,D6723,EMU,Second Class Seat,Sufficient,194,1,386,"102,116"
Beijing,Hohhot,2025-11-18,ZMP,Zhangjiakou Station,HHC,Hohhot,2025-11-18 10:36:00,2025-11-18 12:07:00,91,G2481,High-Speed Rail,Second Class Seat,Sufficient,194,2,386,"102,116"
Beijing,Hohhot,2025-11-18,VAP,Beijing North,NDC,Hohhot East,2025-11-18 07:22:00,2025-11-18 09:57:00,155,G2459,High-Speed Rail,Second Class Seat,Sufficient,210,1,391,"102,116"
Beijing,Hohhot,2025-11-18,VAP,Beijing North,NDC,Hohhot East,2025-11-18 11:25:00,2025-11-18 13:50:00,145,G2465,High-Speed Rail,Second Class Seat,Sufficient,215,1,399,"102,116"
Beijing,Hohhot,2025-11-18,VAP,Beijing North,HHC,Hohhot,2025-11-18 08:30:00,2025-11-18 11:01:00,151,G2491,High-Speed Rail,Second Class Seat,Sufficient,220.5,1,402,"102,116"
Beijing,Hohhot,2025-11-18,VBP,Changping North Station,QIP,Qinghe,2025-11-18 17:17:00,2025-11-18 17:40:00,23,S514,Intercity,No Seat,Sufficient,221,1,414,"102,116"
Beijing,Hohhot,2025-11-18,QIP,Qinghe,HHC,Hohhot,2025-11-18 18:03:00,2025-11-18 20:32:00,149,G2485,High-Speed Rail,Second Class Seat,Sufficient,221,2,414,"102,116"
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 12:10:00,2026-04-18 14:33:00,143,G2493,High-Speed Rail,First Class Seat,0,338,1,3060,1335
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 12:10:00,2026-04-18 14:33:00,143,G2493,High-Speed Rail,Second Class Seat,0,214.5,1,3060,1336
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 12:10:00,2026-04-18 14:33:00,143,G2493,High-Speed Rail,Business Class Seat,0,644.5,1,3060,1334
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 12:10:00,2026-04-18 14:33:00,143,G2493,High-Speed Rail,No Seat,Sufficient,214.5,1,3060,1337
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 12:41:00,2026-04-18 15:16:00,155,G2467,High-Speed Rail,First Class Seat,Sufficient,338,1,3061,1340
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 12:41:00,2026-04-18 15:16:00,155,G2467,High-Speed Rail,Second Class Seat,Sufficient,215,1,3061,1341
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 12:41:00,2026-04-18 15:16:00,155,G2467,High-Speed Rail,Business Class Seat,9,646,1,3061,1339
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 12:41:00,2026-04-18 15:16:00,155,G2467,High-Speed Rail,No Seat,Sufficient,215,1,3061,1342
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:02:00,2026-04-18 15:46:00,164,G2483,High-Speed Rail,First Class Seat,0,345,1,3062,1345
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:02:00,2026-04-18 15:46:00,164,G2483,High-Speed Rail,Second Class Seat,0,215,1,3062,1346
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:02:00,2026-04-18 15:46:00,164,G2483,High-Speed Rail,Business Class Seat,0,646,1,3062,1344
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:02:00,2026-04-18 15:46:00,164,G2483,High-Speed Rail,No Seat,19,215,1,3062,1347
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:24:00,2026-04-18 15:54:00,150,G2503,High-Speed Rail,First Class Seat,0,328,1,3063,1351
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:24:00,2026-04-18 15:54:00,150,G2503,High-Speed Rail,Second Class Seat,0,209,1,3063,1353
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:24:00,2026-04-18 15:54:00,150,G2503,High-Speed Rail,Business Class Seat,0,627,1,3063,1349
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:24:00,2026-04-18 15:54:00,150,G2503,High-Speed Rail,No Seat,0,209,1,3063,1355
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 13:24:00,2026-04-18 16:08:00,164,G2503,High-Speed Rail,First Class Seat,0,338,1,3064,1352
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 13:24:00,2026-04-18 16:08:00,164,G2503,High-Speed Rail,Second Class Seat,0,215,1,3064,1354
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 13:24:00,2026-04-18 16:08:00,164,G2503,High-Speed Rail,Business Class Seat,0,645.5,1,3064,1350
Beijing,Hohhot,2026-04-18,QIP,Qinghe,HHC,Hohhot,2026-04-18 13:24:00,2026-04-18 16:08:00,164,G2503,High-Speed Rail,No Seat,0,215,1,3064,1356
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:32:00,2026-04-18 16:20:00,168,D1059,EMU,First Class Seat,Sufficient,280,1,3065,1359
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:32:00,2026-04-18 16:20:00,168,D1059,EMU,Second Class Seat,0,181,1,3065,1360
Beijing,Hohhot,2026-04-18,QIP,Qinghe,NDC,Hohhot East,2026-04-18 13:32:00,2026-04-18 16:20:00,168,D1059,EMU,No Seat,Sufficient,181,1,3065,1361
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:38:00,2026-04-18 16:10:00,152,G2469,High-Speed Rail,First Class Seat,Sufficient,323,1,3066,1364
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:38:00,2026-04-18 16:10:00,152,G2469,High-Speed Rail,Second Class Seat,Sufficient,205,1,3066,1365
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:38:00,2026-04-18 16:10:00,152,G2469,High-Speed Rail,Business Class Seat,1,617,1,3066,1363
Beijing,Hohhot,2026-04-18,VAP,Beijing North,NDC,Hohhot East,2026-04-18 13:38:00,2026-04-18 16:10:00,152,G2469,High-Speed Rail,No Seat,Sufficient,205,1,3066,1366
