origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index,sample_id
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IOQ,Shenzhen North,2025-11-15 07:26:00,2025-11-15 18:36:00,670,G335,High-Speed Rail,Second Class Seat,Sufficient,936.5,1,571,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IOQ,Shenzhen North,2025-11-15 10:00:00,2025-11-15 17:51:00,471,G79,High-Speed Rail,Second Class Seat,Sufficient,1107.5,1,574,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,NZQ,Futian,2025-11-15 07:26:00,2025-11-15 18:49:00,683,G335,High-Speed Rail,Second Class Seat,Sufficient,944,1,575,58
Beijing,Shenzhen,2025-11-15,IPP,Beijing Daxing Station,BXP,Beijing West,2025-11-15 09:23:00,2025-11-15 09:44:00,21,G8926,High-Speed Rail,Second Class Seat,Sufficient,1115.5,1,578,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IOQ,Shenzhen North,2025-11-15 10:00:00,2025-11-15 17:51:00,471,G79,High-Speed Rail,Second Class Seat,Sufficient,1115.5,2,578,58
Beijing,Shenzhen,2025-11-15,BJP,Beijing,CWQ,Changsha South,2025-11-15 06:50:00,2025-11-15 14:39:00,469,G485,High-Speed Rail,Second Class Seat,Sufficient,1072.5,1,581,58
Beijing,Shenzhen,2025-11-15,CWQ,Changsha South,IOQ,Shenzhen North,2025-11-15 15:00:00,2025-11-15 17:38:00,158,G6005,High-Speed Rail,Second Class Seat,Sufficient,1072.5,2,581,58
Beijing,Shenzhen,2025-11-15,FTP,Beijing Fengtai,BMP,Baoding East Station,2025-11-15 07:12:00,2025-11-15 07:49:00,37,G621,High-Speed Rail,Second Class Seat,Sufficient,972,1,582,58
Beijing,Shenzhen,2025-11-15,BMP,Baoding East Station,NZQ,Futian,2025-11-15 08:09:00,2025-11-15 18:49:00,640,G335,High-Speed Rail,Second Class Seat,Sufficient,972,2,582,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IZQ,Guangzhou South,2025-11-15 10:00:00,2025-11-15 17:19:00,439,G79,High-Speed Rail,Second Class Seat,Sufficient,1115,1,583,58
Beijing,Shenzhen,2025-11-15,IZQ,Guangzhou South,NZQ,Futian,2025-11-15 17:47:00,2025-11-15 18:35:00,48,G6585,High-Speed Rail,Second Class Seat,Sufficient,1115,2,583,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IOQ,Shenzhen North,2025-11-15 14:00:00,2025-11-15 22:24:00,504,G81,High-Speed Rail,Second Class Seat,Sufficient,1107.5,1,584,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IUQ,Humen Station,2025-11-15 14:00:00,2025-11-15 22:05:00,485,G81,High-Speed Rail,Second Class Seat,Sufficient,1112.5,1,586,58
Beijing,Shenzhen,2025-11-15,IUQ,Humen Station,NZQ,Futian,2025-11-15 22:26:00,2025-11-15 22:56:00,30,G6263,High-Speed Rail,Second Class Seat,Sufficient,1112.5,2,586,58
Beijing,Shenzhen,2025-11-15,BXP,Beijing West,IZQ,Guangzhou South,2025-11-15 14:00:00,2025-11-15 21:44:00,464,G81,High-Speed Rail,Second Class Seat,Sufficient,1115,1,587,58
Beijing,Shenzhen,2025-11-15,IZQ,Guangzhou South,NZQ,Futian,2025-11-15 22:03:00,2025-11-15 22:56:00,53,G6263,High-Speed Rail,Second Class Seat,Sufficient,1115,2,587,58
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IOQ,Shenzhen North,2025-11-17 07:26:00,2025-11-17 18:36:00,670,G335,High-Speed Rail,Second Class Seat,Sufficient,936.5,1,571,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IOQ,Shenzhen North,2025-11-17 10:00:00,2025-11-17 17:51:00,471,G79,High-Speed Rail,Second Class Seat,Sufficient,1107.5,1,574,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,NZQ,Futian,2025-11-17 07:26:00,2025-11-17 18:49:00,683,G335,High-Speed Rail,Second Class Seat,Sufficient,944,1,575,92
Beijing,Shenzhen,2025-11-17,IPP,Beijing Daxing Station,BXP,Beijing West,2025-11-17 09:23:00,2025-11-17 09:44:00,21,G8926,High-Speed Rail,Second Class Seat,Sufficient,1115.5,1,578,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IOQ,Shenzhen North,2025-11-17 10:00:00,2025-11-17 17:51:00,471,G79,High-Speed Rail,Second Class Seat,Sufficient,1115.5,2,578,92
Beijing,Shenzhen,2025-11-17,BJP,Beijing,CWQ,Changsha South,2025-11-17 06:50:00,2025-11-17 14:39:00,469,G485,High-Speed Rail,Second Class Seat,Sufficient,1072.5,1,581,92
Beijing,Shenzhen,2025-11-17,CWQ,Changsha South,IOQ,Shenzhen North,2025-11-17 15:00:00,2025-11-17 17:38:00,158,G6005,High-Speed Rail,Second Class Seat,Sufficient,1072.5,2,581,92
Beijing,Shenzhen,2025-11-17,FTP,Beijing Fengtai,BMP,Baoding East Station,2025-11-17 07:12:00,2025-11-17 07:49:00,37,G621,High-Speed Rail,Second Class Seat,Sufficient,972,1,582,92
Beijing,Shenzhen,2025-11-17,BMP,Baoding East Station,NZQ,Futian,2025-11-17 08:09:00,2025-11-17 18:49:00,640,G335,High-Speed Rail,Second Class Seat,Sufficient,972,2,582,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IZQ,Guangzhou South,2025-11-17 10:00:00,2025-11-17 17:19:00,439,G79,High-Speed Rail,Second Class Seat,Sufficient,1115,1,583,92
Beijing,Shenzhen,2025-11-17,IZQ,Guangzhou South,NZQ,Futian,2025-11-17 17:47:00,2025-11-17 18:35:00,48,G6585,High-Speed Rail,Second Class Seat,Sufficient,1115,2,583,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IOQ,Shenzhen North,2025-11-17 14:00:00,2025-11-17 22:24:00,504,G81,High-Speed Rail,Second Class Seat,Sufficient,1107.5,1,584,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IUQ,Humen Station,2025-11-17 14:00:00,2025-11-17 22:05:00,485,G81,High-Speed Rail,Second Class Seat,Sufficient,1112.5,1,586,92
Beijing,Shenzhen,2025-11-17,IUQ,Humen Station,NZQ,Futian,2025-11-17 22:26:00,2025-11-17 22:56:00,30,G6263,High-Speed Rail,Second Class Seat,Sufficient,1112.5,2,586,92
Beijing,Shenzhen,2025-11-17,BXP,Beijing West,IZQ,Guangzhou South,2025-11-17 14:00:00,2025-11-17 21:44:00,464,G81,High-Speed Rail,Second Class Seat,Sufficient,1115,1,587,92
Beijing,Shenzhen,2025-11-17,IZQ,Guangzhou South,NZQ,Futian,2025-11-17 22:03:00,2025-11-17 22:56:00,53,G6263,High-Speed Rail,Second Class Seat,Sufficient,1115,2,587,92
Beijing,Shenzhen,2025-11-18,BXP,Beijing West,IOQ,Shenzhen North,2025-11-18 07:26:00,2025-11-18 18:36:00,670,G335,High-Speed Rail,Second Class Seat,Sufficient,936.5,1,571,107
Beijing,Shenzhen,2025-11-18,BXP,Beijing West,IOQ,Shenzhen North,2025-11-18 10:00:00,2025-11-18 17:51:00,471,G79,High-Speed Rail,Second Class Seat,Sufficient,1107.5,1,574,107
Beijing,Shenzhen,2025-11-18,BXP,Beijing West,NZQ,Futian,2025-11-18 07:26:00,2025-11-18 18:49:00,683,G335,High-Speed Rail,Second Class Seat,Sufficient,944,1,575,107
Beijing,Shenzhen,2025-11-18,IPP,Beijing Daxing Station,BXP,Beijing West,2025-11-18 09:23:00,2025-11-18 09:44:00,21,G8926,High-Speed Rail,Second Class Seat,Sufficient,1115.5,1,578,107
Beijing,Shenzhen,2025-11-18,BXP,Beijing West,IOQ,Shenzhen North,2025-11-18 10:00:00,2025-11-18 17:51:00,471,G79,High-Speed Rail,Second Class Seat,Sufficient,1115.5,2,578,107
Beijing,Shenzhen,2025-11-18,BJP,Beijing,CWQ,Changsha South,2025-11-18 06:50:00,2025-11-18 14:39:00,469,G485,High-Speed Rail,Second Class Seat,Sufficient,1072.5,1,581,107
Beijing,Shenzhen,2025-11-18,CWQ,Changsha South,IOQ,Shenzhen North,2025-11-18 15:00:00,2025-11-18 17:38:00,158,G6005,High-Speed Rail,Second Class Seat,Sufficient,1072.5,2,581,107
Beijing,Shenzhen,2025-11-18,FTP,Beijing Fengtai,BMP,Baoding East Station,2025-11-18 07:12:00,2025-11-18 07:49:00,37,G621,High-Speed Rail,Second Class Seat,Sufficient,972,1,582,107
Beijing,Shenzhen,2025-11-18,BMP,Baoding East Station,NZQ,Futian,2025-11-18 08:09:00,2025-11-18 18:49:00,640,G335,High-Speed Rail,Second Class Seat,Sufficient,972,2,582,107
