origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index,sample_id
Beijing,Xi'an,2025-11-15,FTP,Beijing Fengtai,SJP,Shijiazhuang,2025-11-15 14:54:00,2025-11-15 17:15:00,141,C227,Intercity,Second Class Seat,Sufficient,309,1,246,41
Beijing,Xi'an,2025-11-15,SJP,Shijiazhuang,EAY,Xi'an North,2025-11-15 17:35:00,2025-11-15 22:28:00,293,D1675,EMU,Second Class Seat,Sufficient,309,2,246,41
Beijing,Xi'an,2025-11-15,BXP,Beijing West,EAY,Xi'an North,2025-11-15 19:00:00,2025-11-15 23:11:00,251,G59,High-Speed Rail,Second Class Seat,Sufficient,547.5,1,252,41
Beijing,Xi'an,2025-11-15,BXP,Beijing West,SJP,Shijiazhuang,2025-11-15 15:40:00,2025-11-15 16:59:00,79,G1589,High-Speed Rail,Second Class Seat,Sufficient,393,1,255,41
Beijing,Xi'an,2025-11-15,SJP,Shijiazhuang,EAY,Xi'an North,2025-11-15 17:35:00,2025-11-15 22:28:00,293,D1675,EMU,Second Class Seat,Sufficient,393,2,255,41
Beijing,Xi'an,2025-11-15,BJP,Beijing,SJP,Shijiazhuang,2025-11-15 09:01:00,2025-11-15 11:11:00,130,G7813,High-Speed Rail,Second Class Seat,Sufficient,383,1,261,41
Beijing,Xi'an,2025-11-15,SJP,Shijiazhuang,EAY,Xi'an North,2025-11-15 11:26:00,2025-11-15 16:40:00,314,D1671,EMU,Second Class Seat,Sufficient,383,2,261,41
Beijing,Xi'an,2025-11-15,QIP,Qinghe,EAY,Xi'an North,2025-11-15 16:42:00,2025-11-15 23:37:00,415,D1043,EMU,Second Class Seat,Sufficient,414.5,1,262,41
Beijing,Xi'an,2025-11-15,BXP,Beijing West,ZAF,Zhengzhou East,2025-11-15 19:00:00,2025-11-15 21:21:00,141,G59,High-Speed Rail,Second Class Seat,Sufficient,580,1,263,41
Beijing,Xi'an,2025-11-15,ZAF,Zhengzhou East,EAY,Xi'an North,2025-11-15 21:42:00,2025-11-15 23:29:00,107,G1899,High-Speed Rail,Second Class Seat,Sufficient,580,2,263,41
Beijing,Xi'an,2025-11-15,BXP,Beijing West,ZAF,Zhengzhou East,2025-11-15 17:55:00,2025-11-15 20:14:00,139,G807,High-Speed Rail,Second Class Seat,Sufficient,580,1,265,41
