date,weather_code,weather_condition,temperature_max_c,temperature_min_c,precipitation_mm,precipitation_hours
2025-11-12,3,Cloudy,18.0,3.0,0.0,0.0
2025-11-13,0,Clear,15.0,3.8,0.0,0.0
2025-11-14,0,Clear,15.6,0.3,0.0,0.0
2025-11-15,3,Cloudy,16.9,2.2,0.0,0.0
2025-11-16,3,Cloudy,8.8,0.4,0.0,0.0
2025-11-17,2,Cloudy,3.7,-1.9,0.0,0.0
2025-11-18,3,Cloudy,9.6,-1.6,0.0,0.0
2026-04-30,80,Rain,26.5,15.9,4.5,3.0
2026-05-01,3,Cloudy,26.4,15.2,0.0,0.0
2026-05-02,3,Cloudy,29.0,14.9,0.0,0.0
2026-05-03,3,Cloudy,23.3,14.3,0.0,0.0
2026-05-04,3,Cloudy,22.1,14.3,0.0,0.0
2026-05-05,3,Cloudy,26.7,17.5,0.0,0.0
2026-07-14,51,Drizzle,32.4,22.9,5.8,3.9
2026-07-15,3,Cloudy,31.7,22.6,5.6,4.3
2026-07-17,3,Cloudy,31.9,22.5,7.4,6.9
2026-07-18,51,Drizzle,32.6,23.0,3.2,5.3
2027-01-13,0,Clear,3.6,-5.7,0.0,0.0
2027-01-14,3,Cloudy,2.2,-6.5,0.0,0.2
2027-01-15,3,Cloudy,1.1,-7.4,0.0,0.0
2027-01-16,3,Cloudy,1.3,-7.4,0.0,0.0
2027-01-17,3,Cloudy,2.8,-6.4,0.1,0.3
2027-01-18,3,Cloudy,3.0,-7.2,0.0,0.0
