poi_name,latitude,longitude,address,poi_type
1001 Western Regions Restaurant · Birthday Party Restaurant (Happy Coast Branch),22.523188,113.991692,,poi
1949 Quanyaji · Peking Duck (OCT Harbour Shopping Center Branch),22.525221,113.989570,,poi
2046 Xiangwei Kitchen (Shekou Huigang Branch),22.485699,113.915649,,poi
21 Days Secret · Dry-Aged Steak Bar (Shekou Branch),22.485512,113.916412,,poi
24 Qi Art & Life Space · wineapp,22.534216,113.986923,,poi
3rd Pier · Seafood Restaurant (Yantian Branch),22.584344,114.277603,,poi
A Fei Ice Room (Xia Sha Branch),22.528596,114.024896,,poi
Ai Wan Ting Fresh Stir-Fried Hunan Cuisine (Shi Xia Times Square Branch),22.520270,114.053316,,poi
Ai Wan Ting · Fresh Stir-fried Hunan Cuisine (Yue Shang Center Branch),22.656582,114.037148,,poi
Ai You Wei Crayfish & Sichuan-Hunan Cuisine (Xia Sha Branch),22.527842,114.025163,,poi
Akanala · Shenzhen Orange Sea Vacation B&B,22.508807,114.482142,,hotel
Amigo Mige Sleep Hotel (Longhua Guanlan Branch),22.721847,114.034594,,hotel
Amigo Migge Sleep Hotel (Shenzhen North Station Branch),22.610573,114.044913,,hotel
Andaz Shenzhen Bay · BAR1919,22.514867,113.947150,,poi
Andaz Shenzhen Bay · West Room,22.514867,113.947150,,poi
Anyan Hotel · Lu Restaurant ICON KITCHEN,22.506496,113.932474,,poi
Ao Lu · Xiang Zhuo,22.533936,114.055343,,poi
Atour Hotel Shenzhen Bao'an Xixiang,22.586810,113.860800,,hotel
Atour Light Hotel Shenzhen Nanshan Shenzhen Bay,22.488652,113.938906,,hotel
Atour X Hotel Shenzhen Bao'an Airport Xiwang Mangrove,22.585614,113.843347,,hotel
Atour X Hotel Shenzhen Luohu Sungang,22.555514,114.109961,,hotel
Ba He Li Beef Hot Pot (Dong Yuan Branch),22.537620,114.101617,,poi
Ba He Li Beef Hot Pot (Zhen Zhong Road Branch),22.542940,114.091776,,poi
Ba Shu Feng (Main Branch),22.546453,114.092654,,poi
Badio Bistro,22.720504,114.079167,,poi
Baguang Beach,22.650494,114.507872,,attraction
Bai Wei Guan (Houhai Garden Branch),22.501620,113.933082,,poi
Bai Yu Chuan Cheng · Korean BBQ Skewers (Chegongmiao Branch),22.534999,114.027278,,poi
Baicaotang Ancestral Herbal Tea Shop (Shekou Branch),22.487735,113.928532,,poi
Bainian Guolin Coconut Chicken (Bao'an Main Branch),22.557972,113.909573,,poi
Baishilong Music Theme Park,22.602637,114.044815,,attraction
Bao Li Fang · Chinese Restaurant,22.580769,113.891728,,poi
Bao'an Gymnasium,22.568130,113.892265,,attraction
Bao'an International Airport,22.643430,113.820640,Shenzhen airport,poi
Bao'an Jesus King Church,22.590244,113.917481,,attraction
Bao'an Library,22.555051,113.889099,,attraction
Bao'an Park,22.592152,113.909323,,attraction
Bao'an Science and Technology Museum,22.564157,113.918087,,attraction
Bao'an Xiwang Mangrove Park,22.593597,113.843305,,attraction
Bashu Fengyue · Banquet Hall (Bao'an Branch),22.561259,113.880739,,poi
Bay Area Cruise,22.474317,113.920446,,attraction
Beihai Fishing Village Restaurant · Cantonese Seafood (Xinhua Branch),22.537965,114.052746,,poi
Beizaijiao Beach,22.603991,114.357397,,attraction
Beizaijiao Lighthouse,22.597708,114.347046,,attraction
Ben Yuan Shi Ji Japanese BBQ & Robatayaki (Donghai Bin Fen Branch),22.536757,114.020374,,poi
Benyuan Food Collection · Japanese Yakiniku · Robatayaki (Intown Branch),22.536132,114.064882,,poi
Bihaiwan Park,22.590213,113.859334,,attraction
Bijia Mountain Park,22.568123,114.086519,,attraction
Bingsheng Pinwei (Shenzhen Bay MixC Branch),22.515579,113.946354,,poi
Bingsheng Private Kitchen (The MixC Qianhai Branch),22.531021,113.899764,,poi
Blue Frog (Royal Plaza Branch),22.533344,114.060648,,poi
Bodden Meijin Hotel (Shenzhen Nanshan Xili Metro Station Branch),22.581022,113.953854,,hotel
Bolunton Apartment (Shenzhen International Convention and Exhibition Center Branch),22.706760,113.778316,,hotel
Bonne Patisserie · Custom Cakes,22.562697,114.097468,,poi
Bosden Executive Apartment (Shenzhen Excellence Qianhai One Branch),22.528910,113.899070,,hotel
Butterfly Dream Music Restaurant (Happy Coast Branch),22.523794,113.991191,,poi
CAVE Cave Whiskey Bar,22.531440,114.063920,,poi
COMMUNE Illusionist (Shi Mu Di Branch),22.532587,114.023618,,poi
Cave Exploration Workshop (OCT Harbour Branch),22.531826,113.995971,,attraction
"Century Tower, Shenzhen Zhongzhou Saintyuan Hotel",22.550849,114.087442,,hotel
