date,weather_code,weather_condition,temperature_max_c,temperature_min_c,precipitation_mm,precipitation_hours
2025-11-12,3,Cloudy,24.4,17.8,0.0,0.0
2025-11-13,51,Drizzle,23.1,17.7,0.4,2.0
2025-11-14,51,Drizzle,26.5,17.3,0.3,1.0
2025-11-15,3,Cloudy,27.8,19.5,0.0,0.0
2025-11-16,3,Cloudy,28.2,19.3,0.0,0.0
2025-11-17,3,Cloudy,28.9,19.5,0.0,0.0
2025-11-18,51,Drizzle,22.5,11.8,0.6,4.0
2026-04-30,51,Drizzle,26.9,24.1,3.3,18.0
2026-05-01,51,Drizzle,30.2,23.9,1.5,12.0
2026-05-02,51,Drizzle,30.5,24.9,0.9,6.0
2026-05-03,53,Drizzle,31.1,25.7,6.6,24.0
2026-05-04,51,Drizzle,26.9,25.1,0.9,3.0
2026-05-05,53,Drizzle,30.7,25.1,4.2,9.0
2026-07-14,51,Drizzle,31.8,26.1,3.8,7.7
2026-07-15,51,Drizzle,31.8,26.4,3.9,9.5
2026-07-16,61,Rain,31.5,26.2,5.3,11.2
2026-07-17,51,Drizzle,31.3,26.1,8.3,10.9
2026-07-18,63,Rain,30.9,26.1,9.3,12.6
2026-07-19,53,Drizzle,30.7,25.6,8.8,12.9
2027-01-13,3,Cloudy,19.6,11.5,0.5,1.6
2027-01-14,51,Drizzle,20.2,12.6,0.8,3.3
2027-01-15,51,Drizzle,19.9,12.8,2.9,4.6
2027-01-16,51,Drizzle,19.5,11.8,0.6,1.8
2027-01-17,3,Cloudy,20.0,11.6,1.5,1.3
2027-01-18,3,Cloudy,20.3,11.0,0.1,0.8
