poi_name,latitude,longitude,address,poi_type
128 Fresh Simple Restaurant,23.118674,113.240405,,restaurant
1978 Cultural and Creative Industrial Park,23.302686,113.850166,,attraction
8 Dao Boutique Cantonese Restaurant & Bar,23.121988,113.292999,,restaurant
Aerial Cable Car,23.006068,113.324758,,attraction
Aiqun Building,23.115593,113.263623,,attraction
Almaty Restaurant,23.145460,113.258026,,restaurant
Amy Rice Fragrance Town,23.553413,113.566048,,attraction
Anhua Hui Happy Boat Theme Park,23.223415,113.303516,,attraction
Aoka HOKA Light and Shadow Theater,23.145414,113.313542,,attraction
Art of the Roman Empire - Exhibition of Masterpieces from the National Archaeological Museum of Naples,23.120486,113.332975,,attraction
Atour Hotel Guangzhou Panyu Chimelong Nancun Wanbo Metro Station,23.005893,113.346323,"Atour Hotel, No. 66 Huihui 3rd Road, Nancun Town, Panyu District, Guangzhou (ITC International Science and Technology Innovation Center)",hotel
Atour Hotel Guangzhou Panyu Shawan Ancient Town,22.918743,113.345799,"Shops 2-6, 1st Floor, B2c, and Floors 10-16, No. 1522 West Ring Road, Shawan Street, Panyu District, Guangzhou",hotel
Bai'etan Greater Bay Area Art Center,23.107106,113.246052,,attraction
Baihua Garden (Santang Road Branch),22.944376,113.367285,,attraction
Baijianghu Forest Park,23.503464,113.915041,,attraction
Baishuizhai Scenic Area,23.599255,113.771154,,attraction
Baiyun Mountain,23.190623,113.306556,,attraction
Baiyun Mountain National Scenic Area - Glass Bridge,23.176297,113.308671,,attraction
Baiyun Mountain Ropeway,23.163525,113.302034,,attraction
Baiyun Mountain Scenic Area - Summit Park,23.177947,113.306399,,attraction
Baiyun Zipline,23.191107,113.311189,,attraction
Banshan Yinyi Aesthetic Restaurant (Zhujiang New Town R&F Center Branch),23.117522,113.321768,,restaurant
Baomo Garden,22.900712,113.300935,,attraction
Baoneng Guangzhou International Sports and Performing Arts Center,23.181722,113.489011,,attraction
Baoqu Rose World,23.627666,113.589991,,attraction
Beijing Road Pedestrian Street,23.127945,113.275422,,attraction
Bingsheng Pinwei (Zhujiang New Town Flagship Store),23.114953,113.328317,,restaurant
Bishui Gorge Rafting,23.684252,113.770997,,attraction
Boat Tour to Explore Hidden Secrets,23.030921,113.280940,,attraction
Bosi Mediterranean Seafood Restaurant,23.120599,113.328684,,restaurant
Bosphorus Turkish Restaurant,23.120419,113.328715,,restaurant
Bruce Lee's Ancestral Home,23.121135,113.243461,,attraction
Bulai Bligh8· COFFEE&BRUNCH (Qianshan Branch),22.235622,113.525102,,restaurant
Butterfly Valley,23.560945,113.231813,,attraction
Canton Customs House Museum,23.113315,113.257528,,attraction
Canton Tower,23.112223,113.331084,,attraction
Canton Tower Alpha Exploration Park,23.112223,113.331084,,attraction
Cantonese Opera Art Museum,23.121247,113.244769,,attraction
Cat's Up · Cat Theme Restaurant,23.171299,113.340200,,restaurant
Catholic Guangzhou Diocese Notre Dame de Lourdes Church,23.113254,113.254233,,attraction
Cave Exploration Workshop (Six Elements Flagship Store),23.102275,113.378826,,attraction
Central Performing Arts Plaza,23.005159,113.337564,,attraction
Chang Dian Xian · Shunde Cuisine · Private Kitchen · Steam Seafood (Guangzhou Main Store),22.972896,113.304283,,restaurant
Changzhou Island,23.082388,113.442626,,attraction
Changzhou Island Tent Restaurant,23.068401,113.425651,,restaurant
Changzhou Renjia Farmhouse Cuisine (Jinzhou North Road Branch),23.074295,113.425732,,restaurant
Chao Fu Restaurant (Main Store),23.099716,113.309645,,restaurant
Chaoyuexuan Restaurant,22.988580,113.277198,,restaurant
Chen Clan Ancestral Hall,23.132609,113.251995,,attraction
Chigang Tower,23.107593,113.329276,,attraction
Children's World Exhibition Hall,23.045277,113.368971,,attraction
Chimelong Bird Paradise,23.031355,113.284204,,attraction
Chimelong International Circus,23.009036,113.337965,,attraction
Chimelong Paradise,23.004810,113.336850,,attraction
Chimelong Paradise - Happy Ferris Wheel,23.003416,113.336111,,attraction
Chimelong Safari Park,23.007944,113.321711,,attraction
Chimelong Water Park,23.007665,113.330724,,attraction
Christian Savior Church,23.126099,113.277701,,attraction
Chuanwei Xiangguan Restaurant (Fuhao Garden Branch),22.266914,113.520097,,restaurant
Chui Wa Restaurant (Grandview Mall Branch),23.132202,113.327063,,restaurant
Chunyantai,23.341129,113.095442,,attraction
Coastal Park,22.756007,113.625699,,attraction
Coconut Enjoy Time · Refined Coconut Chicken (COCOpark Branch),23.058953,113.260159,,restaurant
Coconut Enjoy Time · Refined Coconut Chicken (Tianhe New World Branch),23.171574,113.343771,,restaurant
Coconut Grove Seafood Pier (Panyu Wanda Branch),23.006314,113.348156,,restaurant
Colin Mint Simple Joy Kitchen,23.120521,113.322541,,restaurant
Colorful Australia Tour World,23.327309,113.703262,,attraction
Courtyard Restaurant,23.463175,113.165925,,restaurant
Crazy Maiji (Guangzhou Experience Hall),22.976506,113.308682,,attraction
Cuiyuan (Taikoo Hui Branch),23.133972,113.332932,,restaurant
Cunzhong Restaurant,23.115653,113.370353,,restaurant
Da Hema Water World,23.219880,113.331571,,attraction
