origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,price,segment_index,route_index,sample_id
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-13 06:00:00,2025-11-13 06:47:00,47,C7601,Intercity,Second Class Seat,65,1,158,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-13 13:21:00,2025-11-13 14:19:00,58,C7627,Intercity,Second Class Seat,65,1,171,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-13 17:07:00,2025-11-13 17:55:00,48,C7613,Intercity,Second Class Seat,65,1,161,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-13 20:19:00,2025-11-13 21:11:00,52,C7699,Intercity,Second Class Seat,65,1,166,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,QXQ,Qianshan Railway Station,2025-11-13 16:27:00,2025-11-13 17:27:00,60,C7673,Intercity,Second Class Seat,65,1,174,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,QXQ,Qianshan Railway Station,2025-11-13 16:57:00,2025-11-13 17:53:00,56,C7675,Intercity,Second Class Seat,65,1,168,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,QXQ,Qianshan Railway Station,2025-11-13 17:07:00,2025-11-13 18:03:00,56,C7613,Intercity,Second Class Seat,65,1,167,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,ZHQ,Zhuhai Railway Station,2025-11-13 20:50:00,2025-11-13 21:48:00,58,C7705,Intercity,First Class Seat,570,1,195,8
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,ZHQ,Zhuhai Railway Station,2025-11-13 20:50:00,2025-11-13 21:48:00,58,C7705,Intercity,Second Class Seat,70,1,195,9
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,ZHQ,Zhuhai Railway Station,2025-11-13 20:59:00,2025-11-13 21:55:00,56,G337,High-Speed Rail,Second Class Seat,70,1,190,"8,9"
Guangzhou,Zhuhai,2025-11-13,IZQ,Guangzhou South,ZSQ,Zhongshan Railway Station,2025-11-13 14:07:00,2025-11-13 14:38:00,31,C7655,Intercity,Second Class Seat,70,1,201,"8,9"
Guangzhou,Zhuhai,2025-11-13,ZSQ,Zhongshan Railway Station,ZHQ,Zhuhai Railway Station,2025-11-13 14:53:00,2025-11-13 15:19:00,26,G6107,High-Speed Rail,Second Class Seat,70,2,201,"8,9"
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-16 06:00:00,2025-11-16 06:47:00,47,C7601,Intercity,Second Class Seat,65,1,158,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-16 13:21:00,2025-11-16 14:19:00,58,C7627,Intercity,Second Class Seat,65,1,171,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-16 17:07:00,2025-11-16 17:55:00,48,C7613,Intercity,Second Class Seat,65,1,161,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2025-11-16 20:19:00,2025-11-16 21:11:00,52,C7699,Intercity,Second Class Seat,65,1,166,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,QXQ,Qianshan Railway Station,2025-11-16 16:27:00,2025-11-16 17:27:00,60,C7673,Intercity,Second Class Seat,65,1,174,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,QXQ,Qianshan Railway Station,2025-11-16 16:57:00,2025-11-16 17:53:00,56,C7675,Intercity,Second Class Seat,65,1,168,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,QXQ,Qianshan Railway Station,2025-11-16 17:07:00,2025-11-16 18:03:00,56,C7613,Intercity,Second Class Seat,65,1,167,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,ZHQ,Zhuhai Railway Station,2025-11-16 20:50:00,2025-11-16 21:48:00,58,C7705,Intercity,Second Class Seat,70,1,195,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,ZHQ,Zhuhai Railway Station,2025-11-16 20:59:00,2025-11-16 21:55:00,56,G337,High-Speed Rail,Second Class Seat,70,1,190,76
Guangzhou,Zhuhai,2025-11-16,IZQ,Guangzhou South,ZSQ,Zhongshan Railway Station,2025-11-16 14:07:00,2025-11-16 14:38:00,31,C7655,Intercity,Second Class Seat,70,1,201,76
Guangzhou,Zhuhai,2025-11-16,ZSQ,Zhongshan Railway Station,ZHQ,Zhuhai Railway Station,2025-11-16 14:53:00,2025-11-16 15:19:00,26,G6107,High-Speed Rail,Second Class Seat,70,2,201,76
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 12:15:00,2026-04-18 13:18:00,63,C7649,Intercity,No Seat,65,1,9809,38957
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 12:15:00,2026-04-18 13:18:00,63,C7649,Intercity,Second Class Seat,65,1,9809,38954
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 12:31:00,2026-04-18 13:28:00,57,C7651,Intercity,No Seat,65,1,9813,38970
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 12:31:00,2026-04-18 13:28:00,57,C7651,Intercity,Second Class Seat,65,1,9813,38968
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 12:45:00,2026-04-18 13:44:00,59,C7653,Intercity,No Seat,65,1,9815,38976
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 12:45:00,2026-04-18 13:44:00,59,C7653,Intercity,Second Class Seat,65,1,9815,38974
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:07:00,2026-04-18 14:00:00,53,C7655,Intercity,No Seat,65,1,9817,38982
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:07:00,2026-04-18 14:00:00,53,C7655,Intercity,Second Class Seat,65,1,9817,38980
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:14:00,2026-04-18 14:10:00,56,C7657,Intercity,First Class Seat,85,1,9819,38986
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:14:00,2026-04-18 14:10:00,56,C7657,Intercity,No Seat,65,1,9819,38990
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:14:00,2026-04-18 14:10:00,56,C7657,Intercity,Second Class Seat,65,1,9819,38988
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:24:00,2026-04-18 14:21:00,57,C7659,Intercity,No Seat,65,1,9821,38996
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:24:00,2026-04-18 14:21:00,57,C7659,Intercity,Second Class Seat,65,1,9821,38994
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:31:00,2026-04-18 14:41:00,70,C7661,Intercity,No Seat,65,1,9823,39002
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:31:00,2026-04-18 14:41:00,70,C7661,Intercity,Second Class Seat,65,1,9823,39000
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:56:00,2026-04-18 14:49:00,53,C7663,Intercity,No Seat,65,1,9827,39017
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 13:56:00,2026-04-18 14:49:00,53,C7663,Intercity,Second Class Seat,65,1,9827,39014
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 14:08:00,2026-04-18 15:00:00,52,C7665,Intercity,No Seat,65,1,9830,39025
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 14:08:00,2026-04-18 15:00:00,52,C7665,Intercity,Second Class Seat,65,1,9830,39023
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 14:13:00,2026-04-18 15:17:00,64,C7667,Intercity,No Seat,65,1,9832,39031
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 14:13:00,2026-04-18 15:17:00,64,C7667,Intercity,Second Class Seat,65,1,9832,39029
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 14:49:00,2026-04-18 15:48:00,59,C7671,Intercity,No Seat,65,1,9835,39044
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 14:49:00,2026-04-18 15:48:00,59,C7671,Intercity,Second Class Seat,65,1,9835,39042
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 15:05:00,2026-04-18 15:58:00,53,C7673,Intercity,No Seat,65,1,9838,39054
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 15:05:00,2026-04-18 15:58:00,53,C7673,Intercity,Second Class Seat,65,1,9838,39052
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:18:00,2026-04-18 17:10:00,52,C7681,Intercity,First Class Seat,85,1,9844,39072
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:18:00,2026-04-18 17:10:00,52,C7681,Intercity,No Seat,65,1,9844,39076
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:18:00,2026-04-18 17:10:00,52,C7681,Intercity,Second Class Seat,65,1,9844,39074
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:23:00,2026-04-18 17:25:00,62,C7683,Intercity,No Seat,65,1,9846,39082
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:23:00,2026-04-18 17:25:00,62,C7683,Intercity,Second Class Seat,65,1,9846,39080
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:49:00,2026-04-18 17:52:00,63,C7687,Intercity,No Seat,65,1,9849,39091
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 16:49:00,2026-04-18 17:52:00,63,C7687,Intercity,Second Class Seat,65,1,9849,39089
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 17:05:00,2026-04-18 18:02:00,57,C7689,Intercity,No Seat,65,1,9852,39102
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 17:05:00,2026-04-18 18:02:00,57,C7689,Intercity,Second Class Seat,65,1,9852,39100
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 17:16:00,2026-04-18 18:25:00,69,C7691,Intercity,No Seat,65,1,9854,39108
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 17:16:00,2026-04-18 18:25:00,69,C7691,Intercity,Second Class Seat,65,1,9854,39106
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:05:00,2026-04-18 19:04:00,59,C7697,Intercity,No Seat,65,1,9858,39121
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:05:00,2026-04-18 19:04:00,59,C7697,Intercity,Second Class Seat,65,1,9858,39119
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:10:00,2026-04-18 19:17:00,67,C7699,Intercity,No Seat,65,1,9860,39127
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:10:00,2026-04-18 19:17:00,67,C7699,Intercity,Second Class Seat,65,1,9860,39125
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:22:00,2026-04-18 19:28:00,66,C7701,Intercity,No Seat,65,1,9862,39133
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:22:00,2026-04-18 19:28:00,66,C7701,Intercity,Second Class Seat,65,1,9862,39131
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:47:00,2026-04-18 19:55:00,68,C7707,Intercity,No Seat,65,1,9866,39145
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 18:47:00,2026-04-18 19:55:00,68,C7707,Intercity,Second Class Seat,65,1,9866,39143
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 19:27:00,2026-04-18 20:17:00,50,C7709,Intercity,No Seat,65,1,9870,39161
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 19:27:00,2026-04-18 20:17:00,50,C7709,Intercity,Second Class Seat,65,1,9870,39159
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 19:37:00,2026-04-18 20:43:00,66,C7713,Intercity,No Seat,65,1,9872,39167
Guangzhou,Zhuhai,2026-04-18,IZQ,Guangzhou South,MFQ,Mingzhu Railway Station,2026-04-18 19:37:00,2026-04-18 20:43:00,66,C7713,Intercity,Second Class Seat,65,1,9872,39165
