date,weather_code,weather_condition,temperature_max_c,temperature_min_c,precipitation_mm,precipitation_hours
2025-11-12,3,Cloudy,25.4,17.5,0.0,0.0
2025-11-13,51,Drizzle,21.5,18.0,0.4,2.0
2025-11-14,53,Drizzle,25.2,17.3,2.0,5.0
2025-11-15,3,Cloudy,27.0,18.1,0.0,0.0
2025-11-16,3,Cloudy,27.6,19.9,0.0,0.0
2025-11-17,3,Cloudy,28.1,19.1,0.0,0.0
2025-11-18,53,Drizzle,21.1,11.6,3.1,10.0
2025-11-19,3,Cloudy,15.6,10.6,0.0,0.0
2026-04-30,80,Rain,27.3,24.7,9.3,15.0
2026-05-01,81,Rain,31.9,23.7,18.6,6.0
2026-05-02,51,Drizzle,31.9,25.5,3.0,15.0
2026-05-03,51,Drizzle,31.8,25.0,1.2,6.0
2026-05-04,51,Drizzle,29.4,25.9,0.9,9.0
2026-05-05,55,Drizzle,30.1,23.7,6.9,12.0
2026-07-14,63,Rain,32.8,26.1,5.2,7.8
2026-07-15,63,Rain,32.8,26.4,5.5,8.2
2026-07-17,63,Rain,32.3,26.2,6.0,8.6
2026-07-18,53,Drizzle,32.2,26.2,13.2,10.3
